,sorgu,label,le
13,kredi kartımdaki ek ücretleri ödemek istemiyorum,kartiptali,7
14,kredi kartımdaki puan sisteminden memnun değilim,kartiptali,7
15,kredi kartımdaki hizmetlerden memnun değilim,kartiptali,7
16,kredi kartımda yaşadığım güvenlik sorunlarından dolayı iptal etmek istiyorum,kartiptali,7
17,kredi kartımın taksitlendirme seçeneklerinden memnun değilim,kartiptali,7
18,kredi kartımın yıllık ücretini ödemek istemiyorum,kartiptali,7
19,kredi kartımın kullanımını sonlandırmak istiyorum,kartiptali,7
20,kredi kartımın aidatını geri almak istiyorum,kartiptali,7
21,kredi kartımın iptali için başvuruda bulunmak istiyorum,kartiptali,7
22,kredi kartımı iptal etmek için ne yapmalıyım,kartiptali,7
23,kredi kartı iptali nasıl yapılır,kartiptali,7
24,kredi kartı iptali için hangi belgeler gerekli,kartiptali,7
25,kredi kartı iptal prosedürü nedir,kartiptali,7
26,kredi kartı iptal dilekçesi örneği,kartiptali,7
27,kredi kartı iptal işlemleri ne kadar sürer,kartiptali,7
28,kredi kartı iptali sonrası borçlar ne olur,kartiptali,7
29,kredi kartı iptal etmek için ne kadar ödeme yapmalıyım,kartiptali,7
30,kredi kartı iptal işlemi ücretsiz mi,kartiptali,7
31,kredi kartı iptali sonrası kredi notu etkilenir mi,kartiptali,7
32,kredi kartı iptal ettikten sonra yeni kart alabilir miyim,kartiptali,7
33,kredi kartı iptal etmek için gereken şartlar nelerdir,kartiptali,7
34,kredi kartı iptal ettikten sonra ek kart iptal edilmeli mi,kartiptali,7
35,kredi kartı iptali sonrası borçlar nasıl ödenir,kartiptali,7
36,kredi kartı iptali yapmak için bankaya gitmek gerekiyor mu,kartiptali,7
37,kredi kartı iptali işlemi ne kadar sürer,kartiptali,7
38,kredi kartı iptal ettikten sonra aidat iadesi nasıl alınır,kartiptali,7
39,kredi kartı iptali sonrası kartın kullanımı devam eder mi,kartiptali,7
40,kredi kartı iptali işlemi online olarak yapılabilir mi,kartiptali,7
41,kredi kartı iptal etmek için ne kadar süre beklemeliyim,kartiptali,7
42,kredi kartı iptali sonrası aidat iadesi ne kadar sürede yapılır,kartiptali,7
43,kredi kartı iptal etmek için nereye başvurmalıyım,kartiptali,7
44,kredi kartı iptali sırasında dikkat edilmesi gerekenler nelerdir,kartiptali,7
45,kredi kartı iptali sonrası yeni kart ne zaman gelir,kartiptali,7
46,kredi kartı iptali işlemi sonrası kartın kullanımı ne zaman sona erer,kartiptali,7
47,kredi kartı iptali sonrası banka ne yapar,kartiptali,7
48,kredi kartı iptali işlemi sonrası borçlar nasıl kapatılır,kartiptali,7
49,kredi kartı iptali sonrası kredi kartı aidatı iadesi ne zaman yapılır,kartiptali,7
50,kredi kartı aidatını geri almak istiyorum,kartiptali,7
51,kredi kartımı kullanmayı düşünmüyorum,kartiptali,7
52,kredi kartı kullanmaktan vazgeçtim,kartiptali,7
53,kredi kartı aidatı ödemek istemiyorum,kartiptali,7
54,kredi kartımdaki limiti artırmak istemiyorum,kartiptali,7
55,kredi kartı aidatını geri ödemek istiyorum,kartiptali,7
56,kredi kartımda yaşadığım sorunlar nedeniyle iptal etmek istiyorum,kartiptali,7
57,kredi kartımdaki faiz oranlarını ödemek istemiyorum,kartiptali,7
58,kredi kartımdaki ek ücretlerden memnun değilim,kartiptali,7
59,kredi kartımdaki puan sistemi işe yaramıyor,kartiptali,7
60,kredi kartımdaki hizmetlerden şikayetçiyim,kartiptali,7
61,kredi kartımda güvenlik sorunları yaşıyorum,kartiptali,7
62,kredi kartımdaki taksitlendirme seçenekleri uygun değil,kartiptali,7
63,kredi kartımdaki yıllık ücretten rahatsızım,kartiptali,7
64,kredi kartımı kullanmak istemiyorum,kartiptali,7
65,kredi kartımın aidatını geri almak istiyorum,kartiptali,7
66,kredi kartımdaki limiti düşürmek istemiyorum,kartiptali,7
67,kredi kartımdaki borcu kapatmak istemiyorum,kartiptali,7
68,kredi kartımdaki ek ücretleri geri almak istiyorum,kartiptali,7
69,kredi kartımdaki puan sistemi işe yaramıyor,kartiptali,7
70,kredi kartımdaki hizmetlerden şikayetçiyim,kartiptali,7
71,kredi kartımda güvenlik sorunları yaşıyorum,kartiptali,7
72,kredi kartımdaki taksitlendirme seçenekleri uygun değil,kartiptali,7
73,kredi kartımdaki yıllık ücretten rahatsızım,kartiptali,7
74,kredi kartımı kullanmak istemiyorum,kartiptali,7
75,kredi kartımın aidatını geri almak istiyorum,kartiptali,7
76,kredi kartımdaki limiti düşürmek istemiyorum,kartiptali,7
77,kredi kartımdaki borcu kapatmak istemiyorum,kartiptali,7
78,kredi kartımdaki ek ücretleri geri almak istiyorum,kartiptali,7
79,kredi kartımdaki puan sistemi işe yaramıyor,kartiptali,7
80,kredi kartımdaki hizmetlerden şikayetçiyim,kartiptali,7
81,kredi kartımda güvenlik sorunları yaşıyorum,kartiptali,7
82,kredi kartımdaki taksitlendirme seçenekleri uygun değil,kartiptali,7
83,kredi kartımdaki yıllık ücretten rahatsızım,kartiptali,7
84,kredi kartımı kullanmak istemiyorum,kartiptali,7
85,kredi kartımın aidatını geri almak istiyorum,kartiptali,7
86,kredi kartımdaki limiti düşürmek istemiyorum,kartiptali,7
87,kredi kartımdaki borcu kapatmak istemiyorum,kartiptali,7
88,kredi kartımdaki ek ücretleri geri almak istiyorum,kartiptali,7
89,kredi kartımdaki puan sistemi işe yaramıyor,kartiptali,7
90,kredi kartımdaki hizmetlerden şikayetçiyim,kartiptali,7
91,kredi kartımda güvenlik sorunları yaşıyorum,kartiptali,7
92,kredi kartımdaki taksitlendirme seçenekleri uygun değil,kartiptali,7
93,kredi kartımdaki yıllık ücretten rahatsızım,kartiptali,7
94,kredi kartımı kullanmak istemiyorum,kartiptali,7
95,kredi kartımın aidatını geri almak istiyorum,kartiptali,7
96,kredi kartımdaki limiti düşürmek istemiyorum,kartiptali,7
97,kredi kartımdaki borcu kapatmak istemiyorum,kartiptali,7
98,kredi kartımdaki ek ücretleri geri almak istiyorum,kartiptali,7
99,kredi kartımdaki puan sistemi işe yaramıyor,kartiptali,7
0,kredi kartı istemiyorum bu yüzden hesabımı kapatmak istiyorum,hesapkapatma,8
1,kredi kartımı kullanmayı bırakmak istiyorum,hesapkapatma,8
2,kredi kartı aidatından şikayetçiyim,hesapkapatma,8
3,kredi kartımdaki yıllık ücreti ödemek istemiyorum,hesapkapatma,8
4,kredi kartımı kapatmak istiyorum,hesapkapatma,8
5,kredi kartımdaki ek masraflardan memnun değilim,hesapkapatma,8
6,kredi kartı aidatını geri almak istiyorum,hesapkapatma,8
7,kredi kartımla ilgili hizmetleri iptal etmek istiyorum,hesapkapatma,8
8,kredi kartımdaki borcu kapatmak istiyorum,hesapkapatma,8
9,kredi kartımdaki puan sistemi işe yaramıyor,hesapkapatma,8
10,kredi kartı kullanmamak istiyorum,hesapkapatma,8
11,kredi kartımdaki limiti düşürmek istiyorum,hesapkapatma,8
12,kredi kartımdaki taksitlendirme seçenekleri uygun değil,hesapkapatma,8
13,kredi kartımdan memnun değilim,hesapkapatma,8
14,kredi kartımdaki aidatı geri almak istiyorum,hesapkapatma,8
15,kredi kartımda yaşadığım sorunlar nedeniyle hesabımı kapatmak istiyorum,hesapkapatma,8
16,kredi kartımdaki puan sisteminden memnun değilim,hesapkapatma,8
17,kredi kartımı iptal etmek istiyorum,hesapkapatma,8
18,kredi kartımdaki ek masrafları geri almak istiyorum,hesapkapatma,8
19,kredi kartımı kullanmak istemiyorum,hesapkapatma,8
20,kredi kartımdaki aidatı ödemek istemiyorum,hesapkapatma,8
21,kredi kartımdaki yıllık ücretten memnun değilim,hesapkapatma,8
22,kredi kartı aidatını iptal etmek istiyorum,hesapkapatma,8
23,kredi kartımdaki faiz oranlarından memnun değilim,hesapkapatma,8
24,kredi kartımdaki ek ücretlerden rahatsızım,hesapkapatma,8
25,kredi kartımda yaşadığım sıkıntılardan dolayı kapatmak istiyorum,hesapkapatma,8
26,kredi kartımdaki yıllık ücretten şikayetçiyim,hesapkapatma,8
27,kredi kartımdaki ek masrafları kaldırmak istiyorum,hesapkapatma,8
28,kredi kartı kullanmak istemiyorum,hesapkapatma,8
29,kredi kartımdaki limiti düşürmek istiyorum,hesapkapatma,8
30,kredi kartımdaki taksitlendirme seçenekleri uygun değil,hesapkapatma,8
31,kredi kartımdaki aidatı iptal etmek istiyorum,hesapkapatma,8
32,kredi kartımdaki borcu kapatmak istiyorum,hesapkapatma,8
33,kredi kartımdaki puan sisteminden memnun değilim,hesapkapatma,8
34,kredi kartımı iptal etmek istiyorum,hesapkapatma,8
35,kredi kartımdaki ek ücretleri geri almak istiyorum,hesapkapatma,8
36,kredi kartımı kullanmak istemiyorum,hesapkapatma,8
37,kredi kartımdaki aidatı ödemek istemiyorum,hesapkapatma,8
38,kredi kartımdaki yıllık ücretten memnun değilim,hesapkapatma,8
39,kredi kartı aidatını iptal etmek istiyorum,hesapkapatma,8
40,kredi kartımdaki faiz oranlarından memnun değilim,hesapkapatma,8
41,kredi kartımdaki ek ücretlerden rahatsızım,hesapkapatma,8
42,kredi kartımda yaşadığım sıkıntılardan dolayı kapatmak istiyorum,hesapkapatma,8
43,kredi kartımdaki yıllık ücretten şikayetçiyim,hesapkapatma,8
44,kredi kartımdaki ek masrafları kaldırmak istiyorum,hesapkapatma,8
45,kredi kartı kullanmak istemiyorum,hesapkapatma,8
46,kredi kartımdaki limiti düşürmek istiyorum,hesapkapatma,8
47,kredi kartımdaki taksitlendirme seçenekleri uygun değil,hesapkapatma,8
48,kredi kartımdaki aidatı iptal etmek istiyorum,hesapkapatma,8
49,kredi kartımdaki borcu kapatmak istiyorum,hesapkapatma,8
0,kredi kartı istemiyorum bu yüzden hesabımı kapatmak istiyorum,hesapkapatma,8
1,kredi kartımı kullanmayı bırakmak istiyorum,hesapkapatma,8
2,kredi kartı aidatından şikayetçiyim,hesapkapatma,8
3,kredi kartımdaki yıllık ücreti ödemek istemiyorum,hesapkapatma,8
4,kredi kartımı kapatmak istiyorum,hesapkapatma,8
5,kredi kartımdaki ek masraflardan memnun değilim,hesapkapatma,8
6,kredi kartı aidatını geri almak istiyorum,hesapkapatma,8
7,kredi kartımla ilgili hizmetleri iptal etmek istiyorum,hesapkapatma,8
8,kredi kartımdaki borcu kapatmak istiyorum,hesapkapatma,8
9,kredi kartımdaki puan sistemi işe yaramıyor,hesapkapatma,8
10,kredi kartı kullanmamak istiyorum,hesapkapatma,8
11,kredi kartımdaki limiti düşürmek istiyorum,hesapkapatma,8
12,kredi kartımdaki taksitlendirme seçenekleri uygun değil,hesapkapatma,8
13,kredi kartımdan memnun değilim,hesapkapatma,8
14,kredi kartımdaki aidatı geri almak istiyorum,hesapkapatma,8
15,kredi kartımda yaşadığım sorunlar nedeniyle hesabımı kapatmak istiyorum,hesapkapatma,8
16,kredi kartımdaki puan sisteminden memnun değilim,hesapkapatma,8
17,kredi kartımı iptal etmek istiyorum,hesapkapatma,8
18,kredi kartımdaki ek masrafları geri almak istiyorum,hesapkapatma,8
19,kredi kartımı kullanmak istemiyorum,hesapkapatma,8
20,kredi kartımdaki aidatı ödemek istemiyorum,hesapkapatma,8
21,kredi kartımdaki yıllık ücretten memnun değilim,hesapkapatma,8
22,kredi kartı aidatını iptal etmek istiyorum,hesapkapatma,8
23,kredi kartımdaki faiz oranlarından memnun değilim,hesapkapatma,8
24,kredi kartımdaki ek ücretlerden rahatsızım,hesapkapatma,8
25,kredi kartımda yaşadığım sıkıntılardan dolayı kapatmak istiyorum,hesapkapatma,8
26,kredi kartımdaki yıllık ücretten şikayetçiyim,hesapkapatma,8
27,kredi kartımdaki ek masrafları kaldırmak istiyorum,hesapkapatma,8
28,kredi kartı kullanmak istemiyorum,hesapkapatma,8
29,kredi kartımdaki limiti düşürmek istiyorum,hesapkapatma,8
30,kredi kartımdaki taksitlendirme seçenekleri uygun değil,hesapkapatma,8
31,kredi kartımdaki aidatı iptal etmek istiyorum,hesapkapatma,8
32,kredi kartımdaki borcu kapatmak istiyorum,hesapkapatma,8
33,kredi kartımdaki puan sisteminden memnun değilim,hesapkapatma,8
34,kredi kartımı iptal etmek istiyorum,hesapkapatma,8
35,kredi kartımdaki ek ücretleri geri almak istiyorum,hesapkapatma,8
36,kredi kartımı kullanmak istemiyorum,hesapkapatma,8
37,kredi kartımdaki aidatı ödemek istemiyorum,hesapkapatma,8
38,kredi kartımdaki yıllık ücretten memnun değilim,hesapkapatma,8
39,kredi kartı aidatını iptal etmek istiyorum,hesapkapatma,8
40,kredi kartımdaki faiz oranlarından memnun değilim,hesapkapatma,8
41,kredi kartımdaki ek ücretlerden rahatsızım,hesapkapatma,8
42,kredi kartımda yaşadığım sıkıntılardan dolayı kapatmak istiyorum,hesapkapatma,8
43,kredi kartımdaki yıllık ücretten şikayetçiyim,hesapkapatma,8
44,kredi kartımdaki ek masrafları kaldırmak istiyorum,hesapkapatma,8
45,kredi kartı kullanmak istemiyorum,hesapkapatma,8
46,kredi kartımdaki limiti düşürmek istiyorum,hesapkapatma,8
47,kredi kartımdaki taksitlendirme seçenekleri uygun değil,hesapkapatma,8
48,kredi kartımdaki aidatı iptal etmek istiyorum,hesapkapatma,8
49,kredi kartımdaki borcu kapatmak istiyorum,hesapkapatma,8




